UUID,Company
lVECUBVL9ejyIeOgghLQUw,vlocity
qgB5weUIjy1nfr0db5iZaw,vlocity
mj3Da4cckMQiwpYIw4aCAg,philips
ekZLMVYoZQHP4C5oVi4mFQ,ciena
PEfy-lqVgMcj9ZCyavYQPA,ibm
jxxXbgTy6dpDA6bWWMLb2g,infor
C4SzpUqCsHLiFCWHCSNyag,medicity
k2P5MYPTbfSJWyPxyvjuCQ,sap
BX8ZEK22pKd7vwAi__LW8g,aciww
r1pKKnlb_OG8wi_aJi7fXw,vlocity
agWvOHL6ZYyaPY2dSS9Q2w,vmwarehc
nhz-f2f3jSl-9amy2I43vw,currentbyge
XXTcnfIS8fNOI-AtWRFgbA,philips
vZffe--aXcA3ZMJqdeFvZQ,servicenow
29QsPutWonwBOxOpb10z4g,siemens
A5iCuO5_RWsKfCFw1ZSMlw,vlocity
0AHNaxHCGiwllYVrZzfLpg,vmwarehc
qLnqZVl-ocjllV191uA07g,vmwarehc
ZlORRdf3n7BJVnsrbf84Wg,ibm
PMVkqnCWgLac-AX3Eq-lrQ,ibmwatsonhealth
UzkTAEteWfm8dkGnbF9owg,plantronics
OcbcnKmeSBjJ5mo2eGGjkA,cognizant
qH7FTR2IPWSwfSnU15dmig,adobe
cammvMaqBjQJbNx9IQDuMg,philips
7plzbEmySFMI3cJ6FiPDAA,accentureidh
YvLPVBvZY1nnjb1d-9UpCA,vlocity
h2u7qSo1stKAnXAC_hCj6g,philips
3kaHGknoEVWYruwGe-Lr-w,philips
k4P0MpOPV_By_5ypOFVPFA,philips
IwubFwe5A-G-AZurn9HYwQ,servicenow
jlBwtMmpzqBE1e94Q5X_hw,experian
tY-bd2aSPYoklv3hiehExQ,changehealthcare
uQDpj_yeOe2iwV1E4SJPqQ,changehealthcare
Xp3ScHDsQu6LHqxV-hQ8_w,changehealthcare
w1MayFfSzjceJRjFIAUHzg,changehealthcare
F9jzYhFNmc-KltXD57fvpA,changehealthcare
60_QTyJ05iEZ9VLYR-E7rg,ibmwatsonhealth
KiNS_aek1Nub7fS23AIFfQ,imprivata
zeWRxGs6JIgst2I_Uex9Gw,workday
JuaO3FSqfCxYLiqjDvzFGg,changehealthcare
LcL5KANccLvy_NGvbGPksQ,accentureidh
VskiLTggPfNz9hJgoR29dA,accentureidh
AufQupvWP_nCiaqS9Pbhng,sas
R_dPh6bBbKzDbETxxW23Aw,accentureidh
hBUbOKjiFm9j4PbJLjuaRg,sap
98FbzkLKjGQKNsLIo84g7A,changehealthcare
IR9t2t2g86JQ3sPL1HTt8w,philips
MqIrM119nhN0lftDu8aBIQ,accentureidh
S9LPDJdfBv-OvPMjIMkVDA,wolterskluwer
USCtL-Ic3ZfBePrq-C1zbA,ibm
LYEYCu7R5UkIYJhUj4Ptww,intel
7QBjOjjbuwTpwVVLmV_-tQ,dell
qq9aLhkmRpohLS0eJ4YI4Q,sap
TtH7dEXSVG--T1eEDk3D3w,siemens
ARpDcAnfd-JjDI_8W5vP-Q,accentureidh
hpDVcVhu9bjHPlK5Px1ixg,ibm
X9Ym1n1575rTSiHdjuRxlA,sas
7hybdC2g4kzcuuirZvvlFA,ciena
upL79lXCiVPtMXjsYiqNvg,vocera
KUBHZ7Rdb3NfSW_ibywJsw,ciena
WUaifhc5uTp_mRqW-7bfDg,infor
lg4jkwow_W1ZUcy_QgEqZA,nokia
WLBCH_lg9rv6cEZwFRrt2g,vmware
Hi_C0tf4PrTuZ_hT1ZrmYw,arm
6GIq7kQOv2K1N9lAOrBQ8w,redhat
wuxkuLlC-igidXuLYD144w,infor
usiDm4mKjHxU7EMe2pXq0A,vmwarehc
glcYZqNPedfFkNgcoq4V-g,dell
TjYAa7b1Ke3mknev_DLrJw,ibm
LKbQovDEl5S-ZUJN9JaAaw,imprivata
wogoXeJDUZcgKTGMfElTBQ,amazon
bnkdQY0frUByKs5U669f_w,arm
G1e0IphJDQcCGPYuHtKGwg,arm
G-f6uw486SukGWazpBvJwA,accentureidh
7a-HWw7j2EgzGb_67oGksw,philips
VtzQ6oYxuBij3h2LeqJMQg,sap
jGn8D0yu_ZtcdawnjQS4yw,ibm
7M486B9yj9VIQWy0mbBuIg,paloaltonetworks
Kq0N3eFr1KGspZBJa793ZQ,ibm
tnGZfjrpZ1qrqlqKjOreGg,accentureidh
6sf6qUmRb0J2oK2ui8P_dg,ibm
70QFYaBfPl2Pw7aGzb7lJQ,ibm
uiIQRwAeMOdakquQ9WS2JA,vmware
KgORPoXQPt4yLpOAFC-00Q,nokia
AEvfkA2FXuw95a5w5qN3ew,mavenir
tw018tF8BydEn3axf9vvqg,arm
AQiY74Zg4nMYlWhngOJd6Q,arm
yikhlYpYSsMGbTkHVRF_lA,vlocity
#NAME?,ibm
p210vnxQ4sOALvGtQud8kQ,ibm
2Lwg9YLHgVK1Ac7TWLp0ag,philips
5LFAGPq3NvobEZIAV63WBw,ibm
gKCpDD-PCY7Tn3SeKfyqgw,philips
MzgKmoN36gXlxChhuoOvjw,nokia
krUlNr0r29j3uVEXWyFlIw,oracle
Y4tGE0AheLubK9ydeEY3LA,domo
yIuRiLtOVIUuFOfz9XY7zA,vmwarehc
2-4oWkJm6Ad2ezlyaZUwLg,ibm
KXq4uuvwwf26dhK49lBN0A,medicity
A_o8c82vd_tZLGLyeCZ_Hg,wolterskluwer
w3DzR1JurJvAdNrCIjsDWQ,philips
wHf5otez6vkun1tFy_OAtg,infor
cKLRTF5_KdGzCoXFmsHz6Q,adobe
RPui6iMxfFEOS3TpIpg77Q,accentureidh
bsbHx4Cv4B3aHm47cnM6Og,wolterskluwer
YESerEoyEj9N5lLk5fPZ-A,changehealthcare
yV1vM0kGMaru8jQc06p9qQ,changehealthcare
xJA3FypFrJEAFkwZE1KC_w,changehealthcare
kAYOADgaHYb56aKgCjSoPQ,ibm
zQlJf6-En-X_umeJ3bqDRA,ibm
x2Dzc3HXMW80VFDoPeSJ6w,vocera
_7JmSpV9GNO7aRBAVGAEkg,medicity
V6vNe1uz91udTATiFNxuHQ,revionics
gy2_2aFxaPd5S7jsO1mhrg,ajg
INqMe6W0QPeOHQMGRnpSyg,vmware
KU6LxtQF017jPMdh98DzHA,philips
JYlI9YQed3L4LnsQK40kEg,changehealthcare
tngzyqhkxoE6gp4IO-QVFA,emc
KLtS2zVTp4Bw_f5sXweBmw,infor
ZfyjP1Pqz3_EVHDG4XUCIw,cognizant
BQ_rli_u--Ur3eegZiPRlQ,siliconlabs
GbfOEWT9fmqGCXQn3ZGdag,infor
GavRQxl30YAOJQ3HeMW-mA,vmwarehc
MTW84KgQSugmEX_ExEFFyA,ibm
tjWAxOvjebBGcFK5zPnefg,vmwarehc
OuvDp8qrwGB7DyRBmj1MgA,philips
OHnjPpN0CjcFLtSJiUVt7Q,vmwarehc
GjMKtMqI7uBOeQJ6V0i3vA,siemens
sKPUOReIatv7oSRKc_PBqw,philips
ALe7IxlauNuoulH5WF1nGw,cdkglobal
RL_3osHZXt7V30S-a3IqIg,arm
Q-_l97wCntQ7sa7oEejM1A,quantumsecure
U6D2exVmP8j5k1NhDxKHhA,oracle
#NAME?,nokia
MGeY9wVuSoSNUdbYX1sGNQ,changehealthcare
6yzCVpXAioCgusJm6eMbkg,cgi
8RGyO87e3736FsIquLuOiw,ibm
BOcaU7U5oG-PVyrgTIY3lQ,micron
xdEmapVISKy68vtCl9l42Q,ibm
HOtcKu-3R4cgwZzKwGm3Eg,accentureidh
4QLyzBr8HlmpoSoq-qK_2A,philips
hxfntMmWOhGOQ-2YXueo0A,siliconlabs
JinQ_HdjevRSMXrlBKfaOw,sandvine
Dk0Nqb_0XwmcejhB30rTBQ,ibm
